Дата;Событие;Метка;Время
21.11.2024;Защитить проект;Цель/задача;17, 0
14.11.2024;Протестировать звук;Цель/задача;2, 41
15.11.2024;1;Цель/задача;2, 42
16.11.2024;1;Цель/задача;2, 43
17.11.2024;1;Цель/задача;2, 44
18.11.2024;1;Цель/задача;2, 45
19.11.2024;1;Цель/задача;2, 46
20.11.2024;1;Цель/задача;2, 47
21.11.2024;1;Цель/задача;2, 48
22.11.2024;1;Цель/задача;2, 49
23.11.2024;1;Цель/задача;2, 50
24.11.2024;1;Цель/задача;2, 51
25.11.2024;1;Цель/задача;2, 52
26.11.2024;1;Цель/задача;2, 53
27.11.2024;1;Цель/задача;2, 54
28.11.2024;1;Цель/задача;2, 55
